rgi,nome_rgi,xCentroide,yCentroide
2600708,Aliança,"-35,193","-7,603"
2602407,Brejão,"-36,53","-9,027"
2604007,Carpina,"-35,306","-7,819"
2604106,Caruaru,"-36,017","-8,181"
2605707,Floresta,"-38,306","-8,567"
2607109,Ingazeira,"-37,416","-7,714"
2607901,Jaboatão dos Guararapes,"-35,003","-8,152"
2608107,João Alfredo,"-35,592","-7,861"
2608750,Lagoa Grande,"-40,223","-8,777"
2609907,Ouricuri,"-40,164","-7,966"
2610004,Palmares,"-35,63","-8,657"
2611408,Primavera,"-35,391","-8,327"
2611903,Rio Formoso,"-35,218","-8,675"
2612406,Sanharó,"-36,55","-8,365"
2612703,Santa Maria do Cambucá,"-35,883","-7,825"
2615201,Terra Nova,"-3,9397","-8,158"
2615805,Tupanatinga,"-37,28","-8,684"
2616407,Vitória de Santo Antão,"-35,288","-8,15"
